"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","102","Send OTP [R] - Empty Customer Reference","OnePipe PWA Instore - Automated Tests","Thu Aug 21 11:57:02 UTC 2025","passed","Thu Aug 21 11:57:02 UTC 2025","Pin/Password Management [R] Copy > Reset PIN > Send OTP","Settings","",""
"","117","Send OTP [R] - No Token","OnePipe PWA Instore - Automated Tests","Thu Aug 21 11:57:03 UTC 2025","passed","Thu Aug 21 11:57:03 UTC 2025","Pin/Password Management [R] Copy > Reset PIN > Send OTP","Settings","",""
"","250","Send Login OTP - invalid customer ref","OnePipe PWA Instore - Automated Tests","Thu Aug 21 11:56:56 UTC 2025","failed","Thu Aug 21 11:56:56 UTC 2025","Login > Send Login OTP","Onboarding","",""
"","106","Send Login OTP - invalid token","OnePipe PWA Instore - Automated Tests","Thu Aug 21 11:56:56 UTC 2025","failed","Thu Aug 21 11:56:56 UTC 2025","Login > Send Login OTP","Onboarding","",""
"","109","Manage Biometrics - Wrong PIN","OnePipe PWA Instore - Automated Tests","Thu Aug 21 11:56:59 UTC 2025","failed","Thu Aug 21 11:56:59 UTC 2025","Login > Manage Biometrics","Onboarding","",""
"","102","Set New PIN - No Auth Token","OnePipe PWA Instore - Automated Tests","Thu Aug 21 11:57:02 UTC 2025","passed","Thu Aug 21 11:57:02 UTC 2025","Pin/Password Management [R] Copy > Reset PIN > Set New PIN","Settings","",""
"","105","POST - Create PIN - Empty PIN","OnePipe PWA Instore - Automated Tests","Thu Aug 21 11:56:58 UTC 2025","passed","Thu Aug 21 11:56:58 UTC 2025","Login > Create PIN","Onboarding","",""
"","112","Make First Payment - Empty Terms and Condition","OnePipe PWA Instore - Automated Tests","Thu Aug 21 11:56:54 UTC 2025","passed","Thu Aug 21 11:56:54 UTC 2025","Signup > Make First Payment","Onboarding","",""
"List of data to Cach offlne

1. Accounts
    
    1. All accounts and their last balance
        
2. Loan Limits
    
3. Membership status
    
4. Onboard Approval Status","97","Get Banks [R]  - empty token","OnePipe PWA Instore - Automated Tests","Thu Aug 21 11:57:13 UTC 2025","passed","Thu Aug 21 11:57:13 UTC 2025","Get Banks","Misc","",""
"List of data to Cach offlne

1. Accounts
    
    1. All accounts and their last balance
        
2. Loan Limits
    
3. Membership status
    
4. Onboard Approval Status","280","Get Tnc [R] - Success","OnePipe PWA Instore - Automated Tests","Thu Aug 21 11:57:12 UTC 2025","passed","Thu Aug 21 11:57:12 UTC 2025","Get TnC","Misc","",""
"","104","Make First Payment - Invalid Token","OnePipe PWA Instore - Automated Tests","Thu Aug 21 11:56:54 UTC 2025","passed","Thu Aug 21 11:56:54 UTC 2025","Signup > Make First Payment","Onboarding","",""
